,ground_truth,group,reported,timestamp,trial_type,with_audio
0,happy,spokenvoice,happy,022819_144658,audioonly,True
1,happy,spokenvoice,calm,022819_144658,audioonly,True
2,sad,spokenvoice,happy,022819_144658,linkedgesture,True
3,calm,spokenvoice,calm,022819_144658,linkedgesture,True
4,calm,spokenvoice,calm,022819_144658,audioonly,True
5,angry,spokenvoice,angry,022819_144658,audioonly,True
6,calm,spokenvoice,calm,022819_144658,audioonly,True
7,calm,spokenvoice,happy,022819_144658,linkedgesture,False
8,angry,spokenvoice,angry,022819_144658,audioonly,True
9,happy,spokenvoice,sad,022819_144658,randomgesture,False
10,happy,spokenvoice,happy,022819_144658,linkedgesture,False
11,happy,spokenvoice,happy,022819_144658,randomgesture,True
12,sad,spokenvoice,sad,022819_144658,randomgesture,False
13,sad,spokenvoice,sad,022819_144658,audioonly,True
14,sad,spokenvoice,sad,022819_144658,audioonly,True
15,angry,spokenvoice,angry,022819_144658,linkedgesture,True
16,calm,spokenvoice,calm,022819_144658,randomgesture,False
17,sad,spokenvoice,sad,022819_144658,linkedgesture,True
18,angry,spokenvoice,sad,022819_144658,randomgesture,False
19,angry,spokenvoice,angry,022819_144658,linkedgesture,False
20,sad,spokenvoice,happy,022819_144658,linkedgesture,False
21,happy,spokenvoice,happy,022819_144658,linkedgesture,True
22,happy,spokenvoice,happy,022819_144658,linkedgesture,True
23,calm,spokenvoice,calm,022819_144658,randomgesture,False
24,angry,spokenvoice,angry,022819_144658,linkedgesture,True
25,angry,spokenvoice,angry,022819_144658,randomgesture,False
26,calm,spokenvoice,calm,022819_144658,linkedgesture,False
27,angry,spokenvoice,angry,022819_144658,randomgesture,True
28,sad,spokenvoice,angry,022819_144658,randomgesture,False
29,angry,spokenvoice,angry,022819_144658,linkedgesture,False
30,happy,spokenvoice,happy,022819_144658,linkedgesture,False
31,calm,spokenvoice,happy,022819_144658,linkedgesture,True
32,sad,spokenvoice,calm,022819_144658,linkedgesture,False
33,calm,spokenvoice,calm,022819_144658,randomgesture,True
34,happy,spokenvoice,sad,022819_144658,randomgesture,False
35,sad,spokenvoice,sad,022819_144658,randomgesture,True
36,sad,spokenvoice,sad,030119_161329,randomgesture,False
37,sad,spokenvoice,happy,030119_161329,linkedgesture,False
38,calm,spokenvoice,angry,030119_161329,randomgesture,True
39,sad,spokenvoice,calm,030119_161329,randomgesture,False
40,angry,spokenvoice,angry,030119_161329,audioonly,True
41,calm,spokenvoice,calm,030119_161329,audioonly,True
